('福祉', 0.029862818390797175)
('センター', 0.028319955396279656)
('練馬', 0.026126507820614826)
('事業', 0.026032268905051299)
('活動', 0.025542945874293083)
('月', 0.025376187362307529)
('推進', 0.025185989816897906)
('支援', 0.023834566560710334)
('振興', 0.022807368088945252)
('計画', 0.022799848394367748)
('状況', 0.022504738248176191)
('施設', 0.021343466500989592)
('防災', 0.021075661488293134)
('バリアフリー', 0.019292056559476883)
('集会', 0.018873666714485062)
('ぷ', 0.018490756265886997)
('平成', 0.018370000064378243)
('医療', 0.017728912960364055)
('高齢', 0.017041743079171865)
('保健', 0.016861869071708481)
('地図', 0.01677200470455802)
('介護', 0.016763317835610619)
('業務', 0.016612601713126042)
('連携', 0.016333268719173854)
('マップ', 0.016210925450910085)
('設備', 0.015984596271255237)
('ページ', 0.015975228950168022)
('クリック', 0.015720898654009417)
('利用', 0.015636056595691918)
('まち', 0.015364320988695643)
('ニュース', 0.015288202099637792)
('担当', 0.015285691124629179)
('対策', 0.015197378430393493)
('相談', 0.015079682321284633)
('市民', 0.01488247522868731)
('産業', 0.014634142217497963)
('整備', 0.014310632232179767)
('社会', 0.012945081950382126)
('研究', 0.012810769918726634)
('災害', 0.01261766865267263)
('調整', 0.012306647601160821)
('生活', 0.012052764151787987)
('交流', 0.011880312878396554)
('団体', 0.011712565628799219)
('所在地', 0.011188847508260326)
('包括', 0.01104840890197197)
('経済', 0.011036424484624243)
('戦闘', 0.011003956579879366)
('概要', 0.010931275920931918)
('企業', 0.010920796451008631)
('障害', 0.010743609967973966)
('活性', 0.010427683092001096)
('交通', 0.010341444192617018)
('ケア', 0.0098902213328154742)
('区立', 0.0096543258105097861)
('拠点', 0.0095613901029977279)
('総合', 0.0095167574651836284)
('組織', 0.0095150551084658593)
('部分', 0.0093458830994347687)
('環境', 0.0093035299886910679)
('縮尺', 0.0092453781329434985)
('ウインドウ', 0.0090757109828849616)
('注釈', 0.0090757109828849616)
('範囲', 0.0090609145283128481)
('働', 0.0090315634826902986)
('電話', 0.0089855289777870436)
('情報', 0.0089517923508236497)
('課題', 0.0088825790881431905)
('バリア', 0.0087783146618741394)
('あんしん', 0.0087766635089577619)
('空き', 0.0087766635089577619)
('保全', 0.00869240532998025)
('更新', 0.0086767398648633694)
('促進', 0.0086331628172288417)
('画像', 0.0085301872291248179)
('応援', 0.0085271312327431913)
('実施', 0.0084863738767923889)
('原子力', 0.008364684660308425)
('連絡', 0.008259167216490242)
('方々', 0.0081517904038587094)
('子育て', 0.0080271455388565022)
('患者', 0.0080124844748610535)
('法人', 0.0079902025628397974)
('案内', 0.0079127838513455128)
('観光', 0.0079029358268153747)
('表示', 0.0078781522502249218)
('関係', 0.0077960989359718404)
('補助', 0.0077231005321265703)
('～', 0.0076553723401984793)
('フリー', 0.0075259469974452353)
('市町村', 0.0074960020611868853)
('事務所', 0.0074118474696485389)
('病院', 0.0073914628808068412)
('操作', 0.0073830693576537728)
('番号', 0.0073346766788334392)
('プラザ', 0.0072756000789008842)
('活用', 0.0072575115358853269)
('政策', 0.0070705175271247485)
('取組', 0.0069949625907032367)
('機関', 0.0069693266718988097)
('皆様', 0.006924003219688139)
('方法', 0.0068607437596524485)
('協議', 0.0068372297348612077)
('NPO', 0.0068224185564687827)
('窓口', 0.006781840192110168)
('人材', 0.0067445458145790086)
('戦略', 0.0067194660508022724)
('企画', 0.0066862728177550998)
('協力', 0.0066545068886424991)
('予防', 0.0066285095553554199)
('中小', 0.0066155674352410447)
('公共', 0.0064744214851242187)
('名称', 0.0064551024969961351)
('）.', 0.0064102086799554363)
('科学', 0.0063960019656687152)
('会議', 0.0063803671851020132)
('自衛隊', 0.0063793716496877029)
('指導', 0.0063638595575331225)
('再生', 0.0062970707035758348)
('ホームページ', 0.0062942922942784436)
('横浜', 0.0062855403043557611)
('提供', 0.0062097268865577652)
('技術', 0.0061948392992683746)
('住民', 0.0060968119685610609)
('画面', 0.0060740246447184123)
('安心', 0.0060618461370799646)
('地区', 0.0060408134576675218)
('魅力', 0.006027441573174027)
('定住', 0.0059947349823131317)
('調査', 0.0059836746032823698)
('運営', 0.0059472460025037184)
('内容', 0.005900669584470798)
('文化', 0.0058173695935275008)
('基本', 0.0057978752526369505)
('資源', 0.0057703604941289014)
('策定', 0.0057654195926991059)
('イラク', 0.0057424915479687326)
('助成', 0.0056548773654859393)
('消費', 0.0056431229505382553)
('作成', 0.0055968923799400968)
('確保', 0.005596119138583544)
('自治', 0.0055364272436479412)
('解決', 0.0054866682452526915)
('共同', 0.0054037448955138959)
('青少年', 0.0053334922423317194)
('創', 0.0053259522040888675)
('）;', 0.0053173683322292479)
('開催', 0.0053091877201777984)
('避難', 0.0053001345981076716)
('行政', 0.0052210044687972038)
('制度', 0.00518916537412056)
('内閣', 0.0051863040850027228)
('指定', 0.0051831552777388675)
('プログラム', 0.0051822332310865254)
('委員', 0.0051761165110957054)
('管理', 0.0051705083365430312)
('受付', 0.0051020050664880127)
('提案', 0.0050817768402291671)
('全国', 0.0050157658695552561)
('防衛', 0.005008555073413668)
('育成', 0.0049541795182319517)
('公募', 0.0049293369215504456)
('設置', 0.0049116646331395179)
('都道府県', 0.0049093576765546964)
('盛岡', 0.0048942936823511999)
('人口', 0.0048894268641551733)
('機能', 0.0048865608504816693)
('東海', 0.0048817679219150612)
('申請', 0.0048796526771256992)
('日本', 0.0048662531968517815)
('掲載', 0.0048645819151366277)
('発展', 0.0048378786455373843)
('日報', 0.0047821658102177363)
('設立', 0.0047579620006058558)
('農業', 0.0047568292009682808)
