('福祉', 0.062734916606628013)
('支援', 0.058801440324615456)
('高齢', 0.046403817296980912)
('雇用', 0.045339506178717862)
('者', 0.040044119453698394)
('月', 0.039531092482853303)
('求職', 0.038849571537363674)
('職業', 0.031120488947852954)
('平成', 0.029640314847873304)
('発達', 0.026069038706750796)
('生活', 0.025133045448540222)
('身体', 0.02492149747539802)
('精神', 0.024275433031190233)
('手帳', 0.023536058990804912)
('サービス', 0.022229219137178763)
('求人', 0.021570967705504047)
('就業', 0.02040625269658192)
('受理', 0.019598667381676742)
('事業', 0.01940988041175349)
('自立', 0.018843008854658925)
('職種', 0.017678017765784013)
('社会', 0.017288456791227189)
('推進', 0.017235871546591029)
('保健', 0.017197460642472687)
('人', 0.016802849846620446)
('総合', 0.016392558477034046)
('労働', 0.016194167066165447)
('場所', 0.01579598624368702)
('番号', 0.015638058794223111)
('施設', 0.015065671637916984)
('相談', 0.014622745987011743)
('センター', 0.014606198127598568)
('計画', 0.014424607728864744)
('確保', 0.013496333201521139)
('能力', 0.013117635662779174)
('方々', 0.012401916055219868)
('検討', 0.012352004352022557)
('開発', 0.012321615376198898)
('JEED', 0.012156326517110577)
('向上', 0.0121092445484107)
('機構', 0.012028220739025203)
('事業主', 0.012016154568478746)
('子ども', 0.012009389787543739)
('医療', 0.011904352344756897)
('手当', 0.011898528226677661)
('地域', 0.011665295222007844)
('日常', 0.011329680185670318)
('制度', 0.011060210460898853)
('就労', 0.011000921661003036)
('）.', 0.010936253579572364)
('情報', 0.010398830380498689)
('概要', 0.010364914301768818)
('資料', 0.010271708399613021)
('児', 0.010129176502606609)
('知的', 0.010083369330991422)
('機能', 0.0098208802069206444)
('差別', 0.0096825323846805259)
('PDF', 0.0093647038498527839)
('研究', 0.0092624583573776911)
('認定', 0.0092212731926880065)
('助成', 0.0091096929882122507)
('虐待', 0.0087963304973120299)
('促進', 0.0086551479386450195)
('お知らせ', 0.0086071657815410801)
('富山', 0.0085446853646411157)
('申請', 0.0084192306102294674)
('作業', 0.0083841374869921791)
('関係', 0.0082553442656685318)
('メンテナンス', 0.0080520120457748569)
('介護', 0.0078601586810141538)
('事務', 0.007830063536031398)
('療育', 0.0076957929511226528)
('募集', 0.0076903587243505253)
('防止', 0.0076035523478840206)
('法律', 0.007564058961960495)
('開催', 0.0074059513232696723)
('重度', 0.0072402059559666552)
('間', 0.0072023189765866961)
('サイト', 0.0071893599870759143)
('法人', 0.0071609253851007103)
('心身', 0.0070899592537810707)
('更新', 0.0069845194068500508)
('活動', 0.0069763939629606201)
('状況', 0.0069653269020821121)
('交付', 0.0068804960252127102)
('児童', 0.0068334383529597958)
('ADHD', 0.0066571381620257582)
('聴覚', 0.0066147863948431782)
('職場', 0.0065539435900373224)
('利用', 0.006469912036306793)
('内容', 0.0064542989028626785)
('親', 0.006439819813104531)
('回数', 0.0063864784997197631)
('団体', 0.0063846109624906538)
('訓練', 0.0063568673363670692)
('姫路', 0.006356092179034367)
('改定', 0.0063290792816468105)
('年金', 0.0062533530474563259)
('担当', 0.006246674665495066)
('電話', 0.0062338142525778491)
('実施', 0.0062059748831892712)
('紹介', 0.0061945402875514142)
('教育', 0.006190123674978335)
('扶養', 0.0061828926983068791)
('給付', 0.0061616583747413712)
