('建設', 0.051279539624813679)
('月', 0.038256068309736269)
('案内', 0.035598419971742269)
('市役所', 0.034891507605482805)
('委員', 0.027871679461860092)
('整備', 0.025951653675392993)
('電話', 0.024424872468639953)
('番号', 0.023491279760457145)
('業務', 0.022647387601433869)
('総合', 0.022626116901992181)
('総務', 0.022114398004975191)
('情報', 0.021986136374226327)
('平成', 0.021041173863939409)
('施設', 0.020687785742060961)
('基本', 0.020661147664632309)
('設計', 0.01990912473114306)
('検討', 0.019829804597149118)
('開', 0.019668227323015621)
('窓口', 0.019317209706425562)
('駐車', 0.018700323715373713)
('所在地', 0.018189974638672352)
('ページ', 0.017598910149236313)
('本', 0.017230195950577572)
('計画', 0.017052395145492498)
('管理', 0.016808194888480794)
('センター', 0.016403750125395848)
('工事', 0.015837131111205344)
('市民', 0.015790071058173628)
('事業', 0.01463344883434615)
('名称', 0.014312506003974011)
('マップ', 0.014213012788636683)
('行政', 0.014169796542537354)
('バス', 0.014137066882807076)
('福祉', 0.013053753353988548)
('市', 0.01304844414183942)
('区役所', 0.012977688067673866)
('役場', 0.012878733516947058)
('ホームページ', 0.012489791087638426)
('～', 0.012463881942062868)
('担当', 0.012391599754616948)
('実施', 0.012265273448025691)
('祝日', 0.011984550537067328)
('アクセス', 0.011888914843142522)
('配置', 0.01140652156894687)
('）.', 0.011292534523204351)
('お知らせ', 0.010942502611696998)
('耐震', 0.010916803416848048)
('事務', 0.010888272674075663)
('代表', 0.010842964055560072)
('会議', 0.010805792655311949)
('交通', 0.010742224518736758)
('地図', 0.010172389208439166)
('移転', 0.010078435892606536)
('意見', 0.0097074274998771286)
('推進', 0.0094944953345610459)
('住所', 0.0094883466160273593)
('Adobe', 0.0094816638862788884)
('合同', 0.0094797715182562328)
('プロポーザル', 0.0094073658717947779)
('利用', 0.0093725834364529002)
('事務所', 0.0092005834984578757)
('概要', 0.0091289668182851468)
('募集', 0.0090564318400337199)
('審査', 0.0090364280011295053)
('教育', 0.0090063070046710689)
('フロア', 0.009003851062238024)
('設置', 0.0089791419050382505)
('Reader', 0.0087944410238560353)
('問い合わせ', 0.0087655423197268156)
('支所', 0.0087546956147931069)
('くらし', 0.0087409663856398302)
('新', 0.0086829904372178589)
('観光', 0.0086152145876805825)
('年末年始', 0.0085878626352679701)
('PDF', 0.0082403719632341606)
('）;', 0.0081722910828239872)
('閉庁', 0.0080928593828245524)
('相談', 0.0080415462237131904)
('防災', 0.0078766623411298305)
('活用', 0.0077366527252594706)
('都市', 0.0077107408630016604)
('徒歩', 0.0076668336706636493)
('建築', 0.0076196898953060522)
('振興', 0.0076080400488662738)
('各課', 0.0075893935955234325)
('FAX', 0.0074591711883041454)
('南部', 0.0074051910373443674)
('更新', 0.0072148204794665986)
('県', 0.007181358310185299)
('財政', 0.0070942578691148821)
('構想', 0.0070907414915884152)
('設備', 0.0069383062485863286)
('受付', 0.0069316083756559479)
('支援', 0.0068823521959738123)
('機能', 0.0068062124757497103)
('広報', 0.0067602171680154121)
('部署', 0.0067564686804796907)
('[', 0.0067515235154776742)
(').', 0.0066502726484712936)
('リンク', 0.0065440285223848441)
('対策', 0.006502833815475631)
('建', 0.0064957833804799858)
('KB', 0.0064299319905794863)
('DC', 0.0064000214336930369)
('TEL', 0.0062911484261838077)
('開催', 0.0062722052988600204)
('ダウンロード', 0.0062484518563157634)
('市長', 0.0062275493653599235)
('統計', 0.0061939375572695144)
('サイト', 0.0061928660973581129)
('建物', 0.0061817907370132225)
('厚木', 0.0061395402589268606)
('Acrobat', 0.0060631755204212795)
('状況', 0.006060031408262093)
('黒石', 0.0060276228952828824)
('策定', 0.006011844330458622)
('政策', 0.0059832935083149446)
('保健', 0.0059653741473824542)
('横浜', 0.0059097894339964095)
('水戸', 0.0059061440801690011)
('庁', 0.0058396218993711944)
('方針', 0.0058358552225840025)
('下車', 0.0057896446114105576)
('議会', 0.0057875260706959355)
('組織', 0.0057869314109119021)
('上田', 0.0057563248478743915)
('先頭', 0.0057190593911733536)
('人事', 0.005673975073612436)
('地下', 0.0056415706582757146)
('まち', 0.0056110172548893842)
('企画', 0.005546191634898846)
('時刻', 0.0054720533414725214)
('監査', 0.0054440592300106809)
('敷地', 0.0054020758765498432)
('公募', 0.0053999869569330249)
('地域', 0.0053886379502353912)
('選定', 0.0053726284233595878)
('中央', 0.0053637011627456557)
('出張所', 0.0053477855088181021)
('ファイル', 0.0053395973147273264)
('対応', 0.0053225839675331149)
('申請', 0.0053069322673154166)
('ゆき', 0.0052945147342775703)
('世田谷', 0.0052627072561408231)
('子育て', 0.0052596850865088878)
('消防', 0.0052332408944475526)
('選挙', 0.0052290659387510046)
('盛岡', 0.0052216690315724486)
('柳川', 0.0051929929151621505)
('上下水道', 0.0051382266020945531)
('契約', 0.0051322333971158271)
('宮古島', 0.0051222377133731522)
('調査', 0.0050965563810646099)
('市政', 0.0050500628998660932)
('内容', 0.0050334424251363774)
('機関', 0.0050278516875187883)
('トイレ', 0.0050233960258951804)
('平面', 0.0050039394760792747)
('西部', 0.0049232833256332648)
('京都', 0.0049229920571526265)
('木島平', 0.004921788608572961)
('報告', 0.0048988113294787423)
('本町', 0.0048810449720698848)
('川崎', 0.0048128171070116179)
('写真', 0.0047708448054695251)
(']', 0.0047648086417918321)
('職員', 0.0047604473133521421)
('公共', 0.0047533908400377188)
('会館', 0.004742815386170795)
('文化', 0.0046987328539019151)
('拠点', 0.004684025869270839)
('町民', 0.00465751936053262)
('管財', 0.0046326866257240277)
('大字', 0.0046283026601714773)
('各階', 0.0046265965197080355)
('農業', 0.0045998479675211854)
('経由', 0.0045697309710763115)
('江戸川', 0.0045661355674751995)
('渋谷', 0.0045389706247386365)
('個人', 0.0045336838520144826)
('東', 0.0044966632929698937)
('W', 0.0044965810216624205)
('市街', 0.0044904742698015027)
('分室', 0.0044760096535141486)
('草加', 0.0044698289994299445)
('目的', 0.0044617159968000407)
('鳥取', 0.0044225449988693488)
('周辺', 0.0044174661193957642)
('建て替え', 0.0044098231210057395)
('区民', 0.0043702533289510384)
('災害', 0.00436432197214001)
('Tel', 0.0043566199310682788)
('入札', 0.0043336897435224033)
('東京', 0.0043291423816954229)
('左京', 0.0042938989907310892)
('石神井', 0.0042713909208911653)
('一覧', 0.004240599358746394)
('面積', 0.0042313925720247067)
('町', 0.0042291646604732201)
('土木', 0.0042238269758685491)
('運営', 0.0042139510442273697)
('イベント', 0.0041793914299940909)
('環境', 0.0041739913062187719)
('郵便', 0.0041708662815624943)
('JR', 0.0041704037977394514)
('検索', 0.0041450297863143797)
('ファクス', 0.0041412788732327066)
('質問', 0.0041359067329306094)
('国民', 0.0041336709144883504)
('霞ヶ浦', 0.0041229517200861822)
('南', 0.0041036195891950653)
('県庁', 0.0040985957929811365)
('資料', 0.0040211599036232256)
('朝日', 0.0040142141500934857)
('のり', 0.00399124848925552)
('改革', 0.0039842519176803478)
('なべ', 0.0039581852049246713)
('宮崎', 0.0039479261469929795)
('麻生', 0.0039099637169308175)
('維持', 0.0039098823955354082)
('協議', 0.0039008592478612025)
('戸籍', 0.003887567207630286)
('車いす', 0.0038774535747850927)
('説明', 0.0038629676934644006)
('各種', 0.0038433110337296821)
('本庁', 0.0038111026576362244)
('車', 0.0038039597153710818)
('皆様', 0.0038036392903089519)
('公用', 0.0037920565433673249)
('北海道', 0.0037810760692673371)
('保育', 0.0037791830198509288)
('生活', 0.003766593331373704)
('老朽', 0.0037623233312699513)
('営業', 0.0037606026200237264)
('跡地', 0.0037378254287944186)
('秘書', 0.0037359176078617571)
('決定', 0.0037264563972924975)
('北', 0.003722995342861754)
('開館', 0.0037143730656623844)
('案', 0.0037056925568696411)
('定住', 0.0037025576353084521)
('サービス', 0.0036817418217766694)
('－', 0.0036782994212202092)
('メールアドレス', 0.0036517477391821069)
('西', 0.0036458433908603013)
('住民', 0.0036190990602124797)
('宮', 0.0036099994647959244)
('証明', 0.0036028695872103869)
('道路', 0.0035983447639465209)
('行方', 0.003598282758446575)
('開始', 0.0035815124546896165)
('仮', 0.0035806559345507283)
('昭和', 0.0035792701777699549)
('お願い', 0.0035701331596683277)
('経過', 0.0035660351118921175)
('江府', 0.0035434020385742919)
('終了', 0.0035423514719221142)
('免責', 0.0035313229368738376)
('関連', 0.0035190483469043818)
('コーナー', 0.0034957369474838099)
('越谷', 0.0034902807225848076)
('審議', 0.003489092764431722)
('外観', 0.003451196042491402)
('著作', 0.0034490693240095374)
('構成', 0.0034434517549874321)
('暮らし', 0.0034270989876933004)
('新本', 0.0034171071495012802)
('完成', 0.0034097845891828118)
('予定', 0.0033931734486012982)
('医療', 0.0033865025407661896)
('課題', 0.0033836158636822013)
('回答', 0.0033643044674457005)
('経営', 0.0033606458162447326)
('ポリシー', 0.0033590551485398147)
('候補', 0.0033455422754279838)
('ホール', 0.0033233398275667597)
('中原', 0.0033122935572806695)
('掲載', 0.0032979937774064976)
('場所', 0.0032692787851811319)
('電気', 0.0032659179443836977)
('地区', 0.0032548643508570532)
('大橋', 0.0032545922194385265)
('];', 0.0032523375822283876)
('メール', 0.0032445677562664824)
('届出', 0.0032215678245112924)
('山形', 0.0032149981652149929)
('車両', 0.0032117291914779016)
('議場', 0.0031966163468858323)
('提案', 0.0031962439659545343)
('現', 0.0031952643898395753)
('町長', 0.0031836386835609799)
('市議会', 0.0031778296973642181)
('里', 0.0031606659190807447)
('産業', 0.0031549796170738478)
('取り扱い', 0.0031549382736118193)
('登録', 0.0031525115960406099)
('使用', 0.0031382859161693697)
('高山', 0.0030916445102611759)
('下記', 0.0030904829771607068)
('こども', 0.0030897450501259026)
('ホーム', 0.0030529786543510365)
('系統', 0.0030452858297884584)
('温海', 0.0030451122456805375)
('棟', 0.003043837346911782)
('財務', 0.0030400264167435879)
('員弁', 0.0030379773877722408)
('別館', 0.0030336269840405944)
('高根沢', 0.003031176532311726)
('具体', 0.0030114438181011818)
('確認', 0.0030040276222130682)
('ATM', 0.0030013134070755992)
('税務', 0.002984575962232088)
('新見', 0.0029837693118098924)
('大野', 0.0029764856291071115)
('ウェブサイト', 0.002955051360186361)
('水俣', 0.0029385019070647862)
('性能', 0.0029354797580648869)
('駅前', 0.0029221683249893108)
('西木', 0.0029208445013455338)
('事項', 0.0029188347591096496)
('延長', 0.0029115375486659916)
('連絡', 0.0029056815244317587)
('アンケート', 0.0029010220043529655)
('要綱', 0.0028825760378735055)
('労働', 0.002880551541771352)
('取扱', 0.002877466894574872)
('水道', 0.0028745475582154798)
('基準', 0.0028695742557695359)
('大安', 0.0028686043731397885)
('問合せ', 0.0028638785776071876)
('F', 0.0028609701838247007)
('保険', 0.0028601720712622971)
('かすみ', 0.0028521235624247316)
('直通', 0.0028478369676181426)
('釜石', 0.0028369540464180673)
('奈中', 0.0028287930827294934)
('City', 0.0028135987307267244)
('部', 0.0028042030970220895)
('公表', 0.0028040289116404047)
('角館', 0.0027974264471933093)
('さいたま', 0.0027914554654401356)
('障害', 0.0027846039530302919)
('ガイド', 0.0027726448032415118)
('集約', 0.0027679520271839991)
('印刷', 0.0027619046454309161)
('本文', 0.0027579758209281767)
('下水道', 0.002748673478476293)
('渋川', 0.0027451568660598999)
('バス停', 0.0027430944859418776)
('福岡', 0.0027391503248637371)
('法人', 0.0027369129314569495)
('作成', 0.0027343721252206387)
('タクシー', 0.0027335272861229078)
('保護', 0.0027326454897917689)
('市内', 0.0027138493856382127)
('構造', 0.0027137379485941077)
('救急', 0.0027078721009234936)
('茨城', 0.0026987120688349315)
('仙北', 0.0026986947009764633)
('境松', 0.0026898920583882518)
