,index,label
0,0,0
1,1,1
2,2,2
3,3,3
4,4,4
5,5,3
6,6,2
7,7,0
8,8,2
9,9,3
10,10,2
11,11,3
12,12,1
13,13,2
14,14,3
15,15,4
16,16,3
17,17,1
18,18,4
19,19,0
20,20,2
21,21,3
22,22,3
23,23,1
24,24,0
25,25,1
26,26,3
27,27,0
28,28,4
29,29,4
30,30,0
31,31,0
32,32,3
33,33,3
34,34,2
35,35,1
36,36,4
37,37,3
38,38,2
39,39,0
40,40,1
41,41,0
42,42,3
43,43,3
44,44,4
45,45,2
46,46,0
47,47,4
48,48,3
49,49,0
50,50,2
51,51,0
52,52,0
53,53,3
54,54,4
55,55,2
56,56,3
57,57,1
58,58,2
59,59,1
60,60,4
61,61,2
62,62,2
63,63,3
64,64,4
65,65,3
66,66,3
67,67,0
68,68,3
69,69,3
70,70,3
71,71,0
72,72,1
73,73,3
74,74,3
75,75,3
76,76,1
77,77,4
78,78,3
79,79,2
80,80,3
81,81,3
82,82,3
83,83,3
84,84,0
85,85,2
86,86,2
87,87,3
88,88,3
89,89,2
90,90,2
91,91,4
92,92,4
93,93,3
94,94,4
95,95,3
96,96,4
97,97,1
98,98,1
99,99,4
100,100,2
101,101,4
102,102,0
103,103,0
104,104,3
105,105,1
106,106,0
107,107,1
108,108,0
109,109,1
110,110,3
111,111,0
112,112,3
113,113,2
114,114,0
115,115,2
116,116,4
117,117,2
118,118,4
119,119,4
120,120,4
121,121,3
122,122,3
123,123,0
124,124,3
125,125,4
126,126,0
127,127,0
128,128,1
129,129,1
130,130,3
131,131,1
132,132,4
133,133,0
134,134,4
135,135,0
136,136,3
137,137,1
138,138,4
139,139,2
140,140,1
141,141,2
142,142,2
143,143,4
144,144,4
145,145,2
146,146,2
147,147,4
148,148,3
149,149,0
150,150,0
151,151,1
152,152,3
153,153,0
154,154,3
155,155,0
156,156,2
157,157,2
158,158,3
159,159,1
160,160,3
161,161,0
162,162,0
163,163,2
164,164,2
165,165,3
166,166,4
167,167,4
168,168,0
169,169,3
170,170,2
171,171,3
172,172,1
173,173,3
174,174,3
175,175,4
176,176,4
177,177,2
178,178,3
179,179,2
180,180,1
181,181,4
182,182,3
183,183,3
184,184,4
185,185,4
186,186,4
187,187,1
188,188,3
189,189,2
190,190,3
191,191,3
192,192,0
193,193,0
194,194,1
195,195,0
196,196,4
197,197,3
198,198,4
199,199,1
200,200,3
201,201,4
202,202,2
203,203,0
204,204,3
205,205,0
206,206,4
207,207,0
208,208,2
209,209,2
210,210,2
211,211,3
212,212,1
213,213,3
