,query,from_ut,from_ky,from_wa,from_ko,from_me,shortest_step,label_ut,label_ky,label_wa,label_ko,label_me,index,label
0,東京大学,0,2,4,2,2,0,True,False,False,False,False,0,0
1,京都大学,2,0,4,2,3,0,False,True,False,False,False,1,1
2,明治大学,2,3,4,2,0,0,False,False,False,False,True,2,2
3,早稲田大学,4,4,0,4,4,0,False,False,True,False,False,3,3
4,慶應義塾大学,2,2,4,0,2,0,False,False,False,True,False,4,4
5,届け,3,3,5,3,3,3,True,True,False,True,True,5,4
6,おの,4,5,5,4,3,3,False,False,False,False,True,6,2
7,m,3,4,5,3,1,1,False,False,False,False,True,7,2
8,ドライバー,4,5,5,4,3,3,False,False,False,False,True,8,2
9,施政,3,4,5,3,4,3,True,False,False,True,False,9,0
10,利用,3,3,3,3,2,2,False,False,False,False,True,10,2
11,距離,4,4,5,3,4,3,False,False,False,True,False,11,4
12,カ,3,4,5,4,4,3,True,False,False,False,False,12,0
13,球団,3,4,5,3,3,3,True,False,False,True,True,13,4
14,予測,4,4,7,5,5,4,True,True,False,False,False,14,0
15,財務省,5,6,6,5,3,3,False,False,False,False,True,15,2
16,培養,99,99,99,99,99,99,True,True,True,True,True,16,0
17,土,99,99,99,99,99,99,True,True,True,True,True,17,0
18,さいたま,3,4,5,4,4,3,True,False,False,False,False,18,0
19,法律,3,4,4,3,4,3,True,False,False,True,False,19,0
20,in,4,2,6,4,3,2,False,True,False,False,False,20,1
21,塾,4,4,5,3,3,3,False,False,False,True,True,21,2
22,宴会,4,3,5,4,4,3,False,True,False,False,False,22,1
23,設定,2,3,4,3,2,2,True,False,False,False,True,23,0
24,お知らせ,2,3,3,2,2,2,True,False,False,True,True,24,0
25,公演,3,4,4,3,3,3,True,False,False,True,True,25,4
26,定款,2,3,4,2,2,2,True,False,False,True,True,26,2
27,レセプション,3,4,5,4,4,3,True,False,False,False,False,27,0
28,ネット,4,3,5,3,4,3,False,True,False,True,False,28,4
29,中小,3,4,5,3,4,3,True,False,False,True,False,29,0
30,提供,3,3,5,3,3,3,True,True,False,True,True,30,1
31,案内,3,3,3,3,1,1,False,False,False,False,True,31,2
32,一覧,3,4,5,3,3,3,True,False,False,True,True,32,4
33,ファイル,2,3,4,2,2,2,True,False,False,True,True,33,0
34,自分,3,4,5,3,4,3,True,False,False,True,False,34,4
35,ライフ,1,3,5,3,3,1,True,False,False,False,False,35,0
36,取扱い,3,4,5,3,3,3,True,False,False,True,True,36,2
37,š,4,4,6,4,4,4,True,True,False,True,True,37,2
38,協同,3,1,4,2,3,1,False,True,False,False,False,38,1
39,）.,3,4,5,3,2,2,False,False,False,False,True,39,2
40,練馬,3,3,4,3,4,3,True,True,False,True,False,40,4
41,a,4,2,6,4,3,2,False,True,False,False,False,41,1
42,入試,3,3,5,1,1,1,False,False,False,True,True,42,2
43,野球,3,4,5,3,3,3,True,False,False,True,True,43,4
44,Web,2,3,3,3,2,2,True,False,False,False,True,44,0
45,タ,3,4,5,4,4,3,True,False,False,False,False,45,0
46,予定,3,4,4,3,2,2,False,False,False,False,True,46,2
47,ファンクラブ,3,3,3,3,3,3,True,True,True,True,True,47,0
48,グループ,3,4,4,3,4,3,True,False,False,True,False,48,4
49,高齢,4,4,5,4,3,3,False,False,False,False,True,49,2
50,スキー,4,4,5,3,4,3,False,False,False,True,False,50,4
51,カフェ,3,4,5,3,3,3,True,False,False,True,True,51,0
52,フレーズ,4,4,6,4,3,3,False,False,False,False,True,52,2
53,通常,3,3,5,3,4,3,True,True,False,True,False,53,0
54,上映,3,4,5,3,3,3,True,False,False,True,True,54,0
55,当社,3,4,5,3,3,3,True,False,False,True,True,55,0
56,幕張,2,3,4,2,2,2,True,False,False,True,True,56,4
57,T,3,4,5,4,4,3,True,False,False,False,False,57,0
58,R,3,4,4,3,4,3,True,False,False,True,False,58,0
59,目録,4,3,5,4,4,3,False,True,False,False,False,59,1
60,クレジット,4,4,4,4,4,4,True,True,True,True,True,60,4
61,財団,3,3,4,3,4,3,True,True,False,True,False,61,0
62,青葉,3,4,5,3,3,3,True,False,False,True,True,62,4
63,気象,4,3,6,4,4,3,False,True,False,False,False,63,1
64,公開,3,4,5,3,3,3,True,False,False,True,True,64,4
65,ON,3,3,5,3,2,2,False,False,False,False,True,65,2
66,パチンコ,3,3,4,3,3,3,True,True,False,True,True,66,0
67,卒業,3,4,3,3,3,3,True,False,True,True,True,67,4
68,公衆,3,4,5,3,3,3,True,False,False,True,True,68,2
69,システム,3,4,5,3,3,3,True,False,False,True,True,69,4
70,旅,4,5,6,5,3,3,False,False,False,False,True,70,2
71,アドバイス,3,4,5,4,4,3,True,False,False,False,False,71,0
72,インターネット,3,3,4,3,3,3,True,True,False,True,True,72,2
73,得,3,4,5,3,3,3,True,False,False,True,True,73,0
74,NTT,3,4,5,3,3,3,True,False,False,True,True,74,0
75,経営,3,4,4,3,3,3,True,False,False,True,True,75,0
76,募金,4,4,4,4,3,3,False,False,False,False,True,76,2
77,スペック,3,4,5,3,3,3,True,False,False,True,True,77,2
78,ホール,3,4,4,3,3,3,True,False,False,True,True,78,4
