query,from_ut,from_ky,from_wa,from_ko,from_me,shortest_step,label_ut,label_ky,label_wa,label_ko,label_me,id,label
of,4,2,4,4,5,2,False,True,False,False,False,162,1
模試,4,4,2,4,4,2,False,False,True,False,False,163,2
おの,5,5,4,4,3,3,False,False,False,False,True,164,4
部屋,4,2,3,3,3,2,False,True,False,False,False,165,1
生活,2,4,4,3,4,2,True,False,False,False,False,166,0
NTT,4,5,3,4,4,3,False,False,True,False,False,167,2
開催,3,3,3,3,5,3,True,True,True,True,False,168,2
株式,3,5,5,5,5,3,True,False,False,False,False,169,0
ポイント,5,5,4,4,3,3,False,False,False,False,True,170,4
施設,3,3,3,3,5,3,True,True,True,True,False,171,0
横浜,7,6,5,5,5,5,False,False,True,True,True,172,3
観光,4,2,2,2,2,2,False,True,True,True,True,173,1
受付,2,4,4,4,6,2,True,False,False,False,False,174,0
国民,3,4,4,3,4,3,True,False,False,True,False,175,0
ƒ,5,5,3,5,5,3,False,False,True,False,False,176,2
内容,5,5,4,4,3,3,False,False,False,False,True,177,4
紹介,5,3,3,3,3,3,False,True,True,True,True,178,3
京都,3,1,2,2,2,1,False,True,False,False,False,179,1
証明,5,5,3,4,4,3,False,False,True,False,False,181,2
保護,2,3,3,2,3,2,True,False,False,True,False,182,0
予報,5,3,4,4,4,3,False,True,False,False,False,183,1
魅力,3,3,2,2,3,2,False,False,True,True,False,184,2
センター,2,2,2,2,4,2,True,True,True,True,False,185,0
修理,3,5,5,5,7,3,True,False,False,False,False,187,0
パスワード,3,4,3,3,3,3,True,False,True,True,True,189,2
š,5,5,3,5,5,3,False,False,True,False,False,190,2
経営,3,5,4,4,4,3,True,False,False,False,False,191,0
スポーツ,7,6,5,5,5,5,False,False,True,True,True,192,3
in,4,2,4,4,5,2,False,True,False,False,False,193,1
検索,5,3,3,3,3,3,False,True,True,True,True,194,1
ウォーカープラス,4,3,2,2,2,2,False,False,True,True,True,195,3
大阪,5,3,3,3,3,3,False,True,True,True,True,196,1
オープン,2,4,4,4,6,2,True,False,False,False,False,197,0
会員,3,3,2,3,3,2,False,False,True,False,False,198,2
書名,6,4,4,4,4,4,False,True,True,True,True,199,1
教室,5,5,3,5,5,3,False,False,True,False,False,200,2
定額,5,5,3,5,5,3,False,False,True,False,False,201,2
コース,5,5,3,5,5,3,False,False,True,False,False,202,2
対策,3,3,3,3,5,3,True,True,True,True,False,203,0
マンション,5,3,3,3,3,3,False,True,True,True,True,204,1
学術,3,3,3,3,5,3,True,True,True,True,False,205,2
支援,3,3,3,3,5,3,True,True,True,True,False,206,0
概要,3,5,5,5,7,3,True,False,False,False,False,207,0
方針,2,4,3,3,3,2,True,False,False,False,False,208,0
製品,4,3,2,2,2,2,False,False,True,True,True,209,4
気象,5,3,4,4,4,3,False,True,False,False,False,210,1
掲載,3,5,5,5,7,3,True,False,False,False,False,211,0
問い合わせ,4,4,3,3,2,2,False,False,False,False,True,212,4
試合,3,3,2,2,2,2,False,False,True,True,True,213,3
