query,from_ut,from_ky,from_wa,from_ko,from_me,shortest_step,label_ut,label_ky,label_wa,label_ko,label_me,id,label
東京大学,0,2,2,2,4,0,True,False,False,False,False,0,0
京都大学,2,0,2,2,3,0,False,True,False,False,False,1,1
早稲田大学,2,2,0,2,2,0,False,False,True,False,False,2,2
慶應義塾大学,2,2,2,0,2,0,False,False,False,True,False,3,3
明治大学,4,3,2,2,0,0,False,False,False,False,True,4,4
',5,5,3,5,5,3,False,False,True,False,False,6,2
サ,5,5,3,4,4,3,False,False,True,False,False,7,2
学生,3,3,3,1,1,1,False,False,False,True,True,8,3
ナンバーズ,6,5,4,4,3,3,False,False,False,False,True,9,4
三つ,3,1,3,3,4,1,False,True,False,False,False,10,1
ニュース,5,4,3,3,3,3,False,False,True,True,True,11,3
定款,2,4,4,4,4,2,True,False,False,False,False,12,0
価格,5,4,3,3,3,3,False,False,True,True,True,13,4
企業,4,4,3,3,4,3,False,False,True,True,False,14,2
法人,3,5,5,5,5,3,True,False,False,False,False,15,0
物件,3,1,3,3,3,1,False,True,False,False,False,16,1
おすすめ,5,4,3,3,3,3,False,False,True,True,True,17,3
行政,3,4,4,3,5,3,True,False,False,True,False,18,0
校友,3,3,1,3,3,1,False,False,True,False,False,19,2
住宅,4,2,2,2,2,2,False,True,True,True,True,20,4
資源,3,4,4,3,5,3,True,False,False,True,False,21,0
卒業生,4,4,2,3,3,2,False,False,True,False,False,22,2
事業,3,5,5,5,5,3,True,False,False,False,False,23,0
名所,5,3,3,3,3,3,False,True,True,True,True,24,1
to,4,2,4,4,5,2,False,True,False,False,False,25,1
€,5,5,3,5,5,3,False,False,True,False,False,26,2
条件,6,4,4,4,4,4,False,True,True,True,True,27,1
降水,5,3,4,4,4,3,False,True,False,False,False,28,1
早稲田,3,3,1,3,3,1,False,False,True,False,False,29,2
府,4,2,2,2,2,2,False,True,True,True,True,30,1
番号,4,4,2,3,3,2,False,False,True,False,False,31,2
規約,5,5,4,4,3,3,False,False,False,False,True,32,4
学科,4,4,3,2,3,2,False,False,False,True,False,33,3
きっぷ,5,3,4,4,3,3,False,True,False,False,True,34,1
チケット,4,4,3,3,3,3,False,False,True,True,True,35,3
出版,6,4,4,4,4,4,False,True,True,True,True,36,1
技術,2,2,2,2,4,2,True,True,True,True,False,37,0
the,4,2,4,4,5,2,False,True,False,False,False,38,1
中古,5,3,3,3,3,3,False,True,True,True,True,39,4
科学,2,2,2,2,4,2,True,True,True,True,False,40,0
気温,5,3,4,4,4,3,False,True,False,False,False,41,1
受験,5,5,3,5,5,3,False,False,True,False,False,42,2
システム,3,4,3,3,3,3,True,False,True,True,True,43,0
社会,3,3,3,3,4,3,True,True,True,True,False,44,0
カード,5,5,4,4,3,3,False,False,False,False,True,46,4
円,5,5,3,5,5,3,False,False,True,False,False,47,2
アセットマネジメント,3,5,5,5,7,3,True,False,False,False,False,48,0
サポート,4,3,2,2,1,1,False,False,False,False,True,49,4
設置,4,4,2,4,4,2,False,False,True,False,False,50,2
店舗,6,4,4,4,4,4,False,True,True,True,True,52,1
登録,4,4,3,4,3,3,False,False,True,False,True,53,4
機器,5,4,3,3,3,3,False,False,True,True,True,54,4
収集,3,4,4,3,5,3,True,False,False,True,False,55,0
在,3,3,3,2,3,2,False,False,False,True,False,56,3
登記,3,4,4,3,5,3,True,False,False,True,False,57,0
曜日,2,3,3,2,4,2,True,False,False,True,False,58,0
基本,3,5,4,4,4,3,True,False,False,False,False,59,0
お客,3,4,3,3,3,3,True,False,True,True,True,60,0
スポット,5,3,3,3,3,3,False,True,True,True,True,61,1
ログイン,3,4,3,3,3,3,True,False,True,True,True,62,4
更生,3,4,4,3,4,3,True,False,False,True,False,63,0
サービス,4,4,3,3,2,2,False,False,False,False,True,64,4
校舎,4,4,2,4,4,2,False,False,True,False,False,65,2
大学院,4,4,3,2,3,2,False,False,False,True,False,66,3
Q,6,5,4,4,3,3,False,False,False,False,True,67,4
地域,4,4,3,3,4,3,False,False,True,True,False,68,2
研究,1,1,1,1,3,1,True,True,True,True,False,69,0
変更,3,5,5,5,5,3,True,False,False,False,False,70,0
ア,5,5,3,4,4,3,False,False,True,False,False,71,2
電話,3,4,2,3,3,2,False,False,True,False,False,72,2
くじ,6,5,4,4,3,3,False,False,False,False,True,73,4
開発,2,2,2,2,4,2,True,True,True,True,False,74,0
質問,5,4,3,3,2,2,False,False,False,False,True,75,4
公衆,4,5,3,4,4,3,False,False,True,False,False,76,2
郵便,5,4,3,4,4,3,False,False,True,False,False,77,2
年金,3,4,4,3,5,3,True,False,False,True,False,78,0
運営,3,5,4,4,4,3,True,False,False,False,False,79,0
会,2,2,2,2,4,2,True,True,True,True,False,80,2
日程,4,4,3,3,3,3,False,False,True,True,True,81,3
地球,3,3,3,3,5,3,True,True,True,True,False,82,0
個人,2,3,2,2,2,2,True,False,True,True,True,83,0
環境,2,2,2,2,4,2,True,True,True,True,False,84,0
保全,3,3,3,3,5,3,True,True,True,True,False,85,0
診療,3,5,5,5,7,3,True,False,False,False,False,86,0
キャンパス,1,3,3,3,5,1,True,False,False,False,False,88,0
当社,3,4,3,3,3,3,True,False,True,True,True,89,0
ポータルサイト,2,3,2,2,2,2,True,False,True,True,True,90,0
不動産,4,2,2,2,2,2,False,True,True,True,True,91,4
教育,4,4,3,2,3,2,False,False,False,True,False,92,3
日本,3,3,3,3,4,3,True,True,True,True,False,93,3
アパート,5,3,3,3,3,3,False,True,True,True,True,94,4
路線,5,3,4,4,3,3,False,True,False,False,True,95,1
ジャンボ,6,5,4,4,3,3,False,False,False,False,True,96,4
ライフ,1,3,3,3,5,1,True,False,False,False,False,97,0
大分,4,4,4,3,4,3,False,False,False,True,False,98,3
大塚,5,5,3,5,5,3,False,False,True,False,False,99,2
バス,5,4,3,3,2,2,False,False,False,False,True,100,4
日,4,4,4,3,4,3,False,False,False,True,False,101,3
福祉,5,5,4,3,4,3,False,False,False,True,False,102,3
当せん,6,5,4,4,3,3,False,False,False,False,True,103,4
図書館,5,5,3,4,4,3,False,False,True,False,False,104,2
学会,2,2,2,2,4,2,True,True,True,True,False,105,2
事務所,3,5,5,5,5,3,True,False,False,False,False,106,0
ID,4,4,3,4,4,3,False,False,True,False,False,108,2
月,2,2,2,1,3,1,False,False,False,True,False,109,3
大学,4,4,2,2,3,2,False,False,True,True,False,110,3
協会,4,4,3,4,5,3,False,False,True,False,False,111,2
情報,3,2,1,1,1,1,False,False,True,True,True,112,4
and,4,2,4,4,5,2,False,True,False,False,False,113,1
消費,1,3,3,3,5,1,True,False,False,False,False,114,0
au,4,5,3,4,4,3,False,False,True,False,False,115,2
施政,3,5,4,4,4,3,True,False,False,False,False,116,0
CHINTAI,5,3,3,3,3,3,False,True,True,True,True,118,4
四谷,5,5,3,5,5,3,False,False,True,False,False,119,2
案内,4,3,2,2,1,1,False,False,False,False,True,120,4
宝くじ,5,4,3,3,2,2,False,False,False,False,True,121,4
アカデミー,4,4,2,4,4,2,False,False,True,False,False,122,2
財団,3,3,3,3,5,3,True,True,True,True,False,123,0
一覧,5,4,3,3,3,3,False,False,True,True,True,124,4
ネット,5,3,4,4,4,3,False,True,False,False,False,125,1
JR,5,3,4,4,3,3,False,True,False,False,True,126,1
活動,3,3,3,3,5,3,True,True,True,True,False,127,0
回答,6,5,4,4,3,3,False,False,False,False,True,128,4
??,5,5,3,5,5,3,False,False,True,False,False,129,2
駅,4,2,3,3,2,2,False,True,False,False,True,130,1
イベント,5,4,3,3,3,3,False,False,True,True,True,131,3
ロト,6,5,4,4,3,3,False,False,False,False,True,132,4
会社,3,5,5,5,7,3,True,False,False,False,False,133,0
専門,5,5,4,3,4,3,False,False,False,True,False,134,3
賃貸,4,2,2,2,2,2,False,True,True,True,True,135,4
天気,4,2,3,3,3,2,False,True,False,False,False,136,1
平成,3,3,3,3,4,3,True,True,True,True,False,137,2
?,5,5,3,5,5,3,False,False,True,False,False,138,2
時刻,5,3,3,3,2,2,False,False,False,False,True,139,4
確認,5,5,4,4,3,3,False,False,False,False,True,140,4
商品,6,5,4,4,3,3,False,False,False,False,True,141,4
学校,5,5,3,5,5,3,False,False,True,False,False,142,2
診察,3,5,5,5,7,3,True,False,False,False,False,143,0
チェック,5,3,4,4,4,3,False,True,False,False,False,144,1
ごみ,3,4,4,3,5,3,True,False,False,True,False,145,0
‚,5,5,3,5,5,3,False,False,True,False,False,146,2
学部,3,3,2,1,2,1,False,False,False,True,False,147,3
利用,4,4,3,3,2,2,False,False,False,False,True,148,4
選手,4,4,3,3,3,3,False,False,True,True,True,149,3
アリーナ,6,5,4,4,4,4,False,False,True,True,True,150,3
発信,3,3,1,2,2,1,False,False,True,False,False,151,2
相談,2,3,3,2,4,2,True,False,False,True,False,152,0
支部,3,3,2,3,4,2,False,False,True,False,False,153,2
生活協同組合,1,3,3,3,3,1,True,False,False,False,False,154,0
～,3,3,3,3,5,3,True,True,True,True,False,155,0
予約,3,5,5,5,7,3,True,False,False,False,False,156,0
大会,3,3,3,3,5,3,True,True,True,True,False,157,2
Mission,3,1,3,3,4,1,False,True,False,False,False,158,1
口コミ,5,3,3,3,3,3,False,True,True,True,True,159,1
卒業,5,5,3,4,4,3,False,False,True,False,False,160,2
–,5,5,3,5,5,3,False,False,True,False,False,161,2
