('市民', 0.086986564035820613)
('センター', 0.045260681477602781)
('支援', 0.036348931029267034)
('地域', 0.035076722106512859)
('団体', 0.034713311373898534)
('推進', 0.030283872175165552)
('月', 0.029415797786530872)
('事業', 0.025196443091616331)
('社会', 0.025155815259210346)
('平成', 0.023699170532061692)
('ボランティア', 0.021967864317851471)
('法人', 0.021292819225826525)
('調査', 0.019275086974619118)
('働', 0.018899691245823583)
('公益', 0.017647088971039546)
('相談', 0.01707047524120342)
('貢献', 0.01662203934997341)
('助成', 0.016382998519012804)
('NPO', 0.016037794780307556)
('～', 0.01585868740086525)
('施設', 0.015814070575727097)
('情報', 0.015553468887720773)
('目的', 0.015271340916139176)
('環境', 0.014382625307558601)
('紹介', 0.014152046884213955)
('営利', 0.014024124418084549)
('福祉', 0.013055715843623902)
('まち', 0.013040165299171142)
('補助', 0.012993093861098801)
('区民', 0.012814546888354893)
('青少年', 0.012764324704787415)
('内容', 0.012658389512785544)
('交付', 0.01233595552278836)
('自治', 0.012249621426230515)
('協議', 0.011873591135505013)
('企業', 0.011559530868616382)
('サポート', 0.011481869071969504)
('登録', 0.011169787255205853)
('会議', 0.011159936186743241)
('制度', 0.011007790442882253)
('課題', 0.010858451140613146)
('プラザ', 0.010845173305523786)
('募集', 0.010835130204316791)
('ＮＰＯ', 0.010613338632839916)
('地球', 0.010584344396536617)
('参加', 0.010393858119606933)
('国際', 0.010306527499352427)
('生活', 0.010282739594802219)
('ホームページ', 0.010255033293831302)
('利用', 0.010206650590539728)
('講座', 0.010125565408153948)
('子ども', 0.010051167585910608)
('イベント', 0.0098756992815962081)
('地区', 0.0092986653849046388)
('コミュニティ', 0.0092877774406793408)
('委員', 0.0092422622807512549)
('運営', 0.0092178683301925857)
('県内', 0.0090902562462766116)
('対象', 0.0089046962411536961)
('協力', 0.008814129691674508)
('状況', 0.0087950454659193184)
('交流', 0.0087068183837461562)
('解決', 0.008440823753340404)
('グループ', 0.008431500727114705)
('育成', 0.0083992049506634425)
('休館', 0.008313797981579071)
('特定', 0.0082545020451523198)
('応援', 0.0082301641862668161)
('予約', 0.0082281019908681027)
('実施', 0.0082112599066783004)
('掲載', 0.0082002554360645387)
('研究', 0.0081072331633696565)
('防止', 0.0078846084740102924)
('住民', 0.00770651280346545)
('学校', 0.0075201003817951372)
('案内', 0.0074038478950300603)
('設置', 0.0073176056590254935)
('各種', 0.0072576845524241502)
('シニア', 0.0072318133714660187)
('大阪', 0.0072228093474119848)
('読書', 0.0071078583071231879)
('総合', 0.007100206344155072)
('政務', 0.0069824511723915001)
('認定', 0.0068760010896781239)
('世田谷', 0.0067326420699684022)
('火山', 0.0067229589379717803)
('体験', 0.006549464672110485)
('申請', 0.0065483420936619701)
('対策', 0.006546333177525984)
('高齢', 0.0065063742996254708)
('鳥取', 0.0065044220191012884)
('派遣', 0.0063496773078720514)
('プログラム', 0.006254559458202193)
('分野', 0.0062271256896939079)
('経費', 0.006226962905273377)
('教育', 0.0061926438354815315)
('トップページ', 0.0061855576281866931)
('受付', 0.0061524262425371673)
('産業', 0.0061002393855817466)
('TEL', 0.0060873313575436228)
('管理', 0.006072624349258534)
('保全', 0.0060056946420059751)
('拠点', 0.0059460956199918671)
('連携', 0.0059408441329032056)
('暮らし', 0.0059059306472360644)
('研修', 0.0058886659846321531)
('更新', 0.0058820275195685346)
('提供', 0.0058648812846592508)
('日本', 0.0058585769050814168)
('学生', 0.0057711534638737686)
('生きがい', 0.0057671052728602411)
('夢', 0.0057669328695335587)
('ネットワーク', 0.0057610733552457974)
('使用', 0.0057346469938866079)
('京都', 0.0056853843198033166)
('コーナー', 0.0055275289623598206)
('東京', 0.0054992517293675587)
('電話', 0.0054924534553106785)
('学習', 0.005464770108621524)
('自主', 0.0054507221206349689)
('資金', 0.0054497114280454275)
('町会', 0.0054247510046009752)
('世界', 0.0054105177490935989)
('皆様', 0.0053373203248501594)
('人', 0.0053117183548811557)
('基金', 0.0053043949285966167)
('祝日', 0.0053006289911881905)
('充実', 0.0052700648686768931)
('業務', 0.0052564042678177568)
('自分', 0.005239860578183533)
('実現', 0.0052276294156679446)
('開催', 0.0051964740835925343)
('趣味', 0.0051949323206079831)
('啓発', 0.005177800775939055)
('促進', 0.0050898829306274896)
('ページ', 0.005074780766605373)
('三島', 0.0050288646223777336)
('大学', 0.0050182731070370157)
('自発', 0.0050014048141449217)
('行政', 0.0049992897708280755)
('実態', 0.0049917053815845287)
('ESD', 0.0049509382078093116)
('財団', 0.0049417625329666393)
('組合', 0.0049314778377908012)
('デザイン', 0.0049186248994208294)
('人権', 0.0049123714613364521)
('クラブ', 0.0048958960099127341)
('概要', 0.004851542082775882)
('関係', 0.0047782610615828879)
('都筑', 0.0047778167957971372)
('報告', 0.0047662893649938667)
('一覧', 0.0047547812670576794)
('計画', 0.00474594875299601)
('科学', 0.0047301884004371702)
('市内', 0.0047055673325939523)
('個人', 0.0047048120756889101)
('文化', 0.0046923138079468275)
('メール', 0.0046862033172921291)
('開館', 0.0046757272814239)
('無償', 0.0046587657348299942)
('在留', 0.0046453941060726712)
('UNHCR', 0.0046274236964126596)
('主体', 0.0046216810222347747)
('仲間', 0.0045770071806045141)
('範囲', 0.0045669615097062586)
('組織', 0.0045556758367154568)
('機関', 0.004552244355677088)
('設立', 0.0045447004130518406)
('org', 0.0045405528475558343)
('指導', 0.004473511811108207)
('技術', 0.0044475076329175663)
('kyoto', 0.0044394874062666304)
('ys', 0.0044394874062666304)
('難民', 0.0044220756052238096)
('駅前', 0.004389124481366186)
